timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1752858000,Jul 18 2025 - 5:00pm,complete,N/A,Viborg,København,N/A,1,0.00,0.00,1.44,1.67,2,3,5,2,1,1,"24,73","37,51,78",6,5,1,0,1,0,1,0,1,0,10,21,4,6,6,15,4,11,46,54,0.00,0.00,1.09,2.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.80,1.65,1.20,1.62,2.80,5.00,1.70,2.05,Energi Viborg Arena
1753012800,Jul 20 2025 - 12:00pm,complete,N/A,Vejle,Randers,N/A,1,0.00,0.00,1.22,0.89,1,1,2,0,0,0,"90'7","60",5,5,0,0,2,0,0,0,1,1,14,6,3,2,11,4,13,11,44,56,0.00,0.00,1.52,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.68,2.16,1.25,1.77,2.80,6.20,1.67,2.00,Vejle Stadion
1753012800,Jul 20 2025 - 12:00pm,complete,N/A,Fredericia,Nordsjælland,N/A,1,0.00,0.00,0.78,1.00,2,3,5,4,1,3,"1,85","4,36,15",5,2,3,0,1,0,0,3,0,1,6,13,3,7,3,6,14,10,39,61,0.00,0.00,0.96,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.65,4.05,1.74,1.12,1.52,2.25,4.20,1.64,2.27,Monjasa Park
1753020000,Jul 20 2025 - 2:00pm,complete,N/A,SønderjyskE,AGF,N/A,1,0.00,0.00,1.89,2.33,1,1,2,1,0,1,"53","1",4,3,0,0,2,0,0,0,0,2,12,11,3,3,9,8,11,6,44,56,0.00,0.00,1.27,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.60,1.95,1.30,2.00,3.40,5.30,1.75,2.00,Sydbank Park
1753027200,Jul 20 2025 - 4:00pm,complete,N/A,Midtjylland,OB,N/A,1,0.00,0.00,2.33,1.33,3,3,6,4,2,2,"45'5,45'2,85","3,30,67",6,7,2,0,3,0,0,2,1,2,17,11,7,3,10,8,9,18,58,42,0.00,0.00,2.01,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.20,6.30,1.09,1.50,2.20,3.80,1.62,2.20,MCH Arena
1753034400,Jul 20 2025 - 6:00pm,complete,N/A,Brøndby,Silkeborg,N/A,1,0.00,0.00,1.78,0.89,3,0,3,1,1,0,"23,61,86","",2,2,0,0,0,0,0,0,0,0,13,8,5,2,8,6,12,7,53,47,0.00,0.00,1.49,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,4.04,4.95,1.22,1.70,2.70,4.75,1.70,2.00,Brøndby Stadion
1753462800,Jul 25 2025 - 5:00pm,complete,N/A,AGF,Randers,N/A,2,0.00,1.00,2.11,0.89,1,2,3,1,1,0,"4","53,51",3,3,2,0,3,0,1,1,0,3,14,12,4,5,10,7,7,21,57,43,0.00,0.76,1.58,1.47,1.00,50,50,0,0,0,0,0,50,50,5.00,2.00,1.97,3.58,3.89,1.22,1.85,3.10,5.50,1.69,2.24,N/A
1753545600,Jul 26 2025 - 4:00pm,complete,N/A,København,Vejle,N/A,2,0.00,0.00,1.44,0.22,2,0,2,2,2,0,"2,26","",3,8,0,0,3,0,0,0,1,2,15,8,4,1,11,7,14,9,47,53,0.00,0.00,1.53,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,5.50,8.50,1.17,1.50,2.40,4.00,2.01,1.82,Parken
1753617600,Jul 27 2025 - 12:00pm,complete,N/A,OB,Viborg,N/A,2,0.00,0.00,1.56,1.22,3,1,4,1,1,0,"42,63,57","85",5,4,2,0,1,0,0,2,0,1,13,15,6,5,7,10,15,8,45,55,0.00,0.00,1.51,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.94,3.79,3.22,1.15,1.58,2.25,4.10,1.53,2.44,Nature Energy Park
1753624800,Jul 27 2025 - 2:00pm,complete,N/A,Silkeborg,Fredericia,N/A,2,0.00,0.00,1.22,0.78,0,2,2,2,0,2,"","25,44",10,1,0,0,1,0,0,0,1,0,18,8,5,3,13,5,8,9,58,42,0.00,0.00,1.89,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.50,4.70,1.20,1.60,2.80,5.00,1.62,2.10,JYSK park
